Type 1,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Total
Dragon,83.3125,112.125,86.375,96.84375,88.84375,83.03125,550.53125
Steel,65.22222222222223,92.70370370370371,126.37037037037037,67.51851851851852,80.62962962962963,55.25925925925926,487.7037037037037
Flying,70.75,78.75,66.25,94.25,72.5,102.5,485.0
Psychic,70.63157894736842,71.45614035087719,67.6842105263158,98.40350877192982,86.28070175438596,81.49122807017544,475.94736842105266
Fire,69.90384615384616,84.76923076923077,67.76923076923077,88.98076923076923,72.21153846153847,74.4423076923077,458.07692307692304
Rock,65.36363636363636,92.86363636363636,100.79545454545455,63.34090909090909,75.47727272727273,55.90909090909091,453.75
Dark,66.80645161290323,88.38709677419355,70.2258064516129,74.64516129032258,69.51612903225806,76.16129032258064,445.741935483871
Electric,59.79545454545455,69.0909090909091,66.29545454545455,90.02272727272727,73.70454545454545,84.5,443.4090909090909
Ghost,64.4375,73.78125,81.1875,79.34375,76.46875,64.34375,439.5625
Ground,73.78125,95.75,84.84375,56.46875,62.75,63.90625,437.5
Ice,72.0,72.75,71.41666666666667,77.54166666666667,76.29166666666667,63.458333333333336,433.45833333333337
Water,72.0625,74.15178571428571,72.94642857142857,74.8125,70.51785714285714,65.96428571428571,430.45535714285717
Grass,67.27142857142857,73.21428571428571,70.8,77.5,70.42857142857143,61.92857142857143,421.14285714285717
Fighting,69.85185185185185,96.77777777777777,65.92592592592592,53.111111111111114,64.70370370370371,66.07407407407408,416.4444444444444
Fairy,74.11764705882354,61.529411764705884,65.70588235294117,78.52941176470588,84.70588235294117,48.588235294117645,413.17647058823525
Normal,77.27551020408163,73.46938775510205,59.8469387755102,55.816326530612244,63.724489795918366,71.55102040816327,401.68367346938777
Poison,67.25,74.67857142857143,68.82142857142857,60.42857142857143,64.39285714285714,63.57142857142857,399.1428571428571
Bug,56.88405797101449,70.97101449275362,70.72463768115942,53.869565217391305,64.79710144927536,61.68115942028985,378.9275362318841
