Country,Income_Per_Capita,Population (in thousands) total,Population_Median_Age,Percent_Population_over_60,Percent_Goverment_Expenditure_on_Health,Female_Life_Expectancy,Male_Life_Expectancy,Liters_of_Alcohol (Avg. Per year per person),Percent_Population_Access_To_Clean_Water,Cell_phones_per_100_people,Cell_phones_total,Measles_immunization
Afghanistan,,26088,16,4,4.4,36,35,0.01,22,4,600000,64
Albania,6000,3172,29,13,11.3,63,59,2.01,97,48.9,1100000,97
Algeria,5940,33351,24,7,9.5,62,60,0.15,85,41.5,4682690,83
Andorra,,74,,22,22.7,75,70,,100,,,
Angola,3890,16557,17,4,5,35,32,3.86,51,10.3,940000,45
Antigua and Barbuda,15130,84,,11,11.3,64,60,5.73,91,105.5,47250,99
Argentina,11670,39134,29,14,14.2,68,62,8.4,96,57.4,1.35E+07,99
Armenia,4950,3010,32,14,9.7,63,59,1.48,98,10.5,203309,94
Australia,33940,20530,37,18,17.2,74,71,9.02,100,91.4,1.64E+07,94
Austria,36040,8327,40,22,15.5,74,69,11.08,100,105.8,7989955,75
Azerbaijan,5430,8406,28,9,3.6,59,56,4.54,78,26.7,1782900,98
Bahamas,,327,28,10,13.9,66,61,,97,70.5,186007,85
Bahrain,34310,739,29,5,9.5,64,64,6.98,,103,649764,99
Bangladesh,1230,155991,22,6,7.4,53,55,0,80,6.3,4327516,81
Barbados,15150,293,36,13,11.9,68,63,,100,76.7,200138,93
Belarus,9700,9742,38,18,10.2,65,57,5.53,100,42,1118000,99
Belgium,33860,10430,41,22,13.9,73,69,10.63,,90,9131705,88
Belize,7080,282,21,6,10.9,62,58,6.25,91,44.3,97755,95
Benin,1250,8760,18,4,13.1,45,43,1.29,65,10,236175,85
Bermuda,,,,,,,,,,82.2,42875,
Bhutan,4000,649,23,7,7.3,53,53,0.23,81,4.7,17800,93
Bolivia,3810,9354,21,7,11.6,55,54,3.23,86,26.4,1800789,64
Bosnia and Herzegovina,6780,3926,38,19,14,66,62,9.05,99,40.8,1050000,90
Botswana,11730,1858,21,5,17.8,35,36,4.29,96,46.6,563782,90
