Zipcode,Address,Median Age,Household Income,Per Capita Income,Lat,Lng,Bank Count
27358,"Summerfield, NC 27358, USA",43.0,88382.0,40210,36.2345022,-79.8856824,4
14113,"North Java, NY 14113, USA",45.6,47500.0,33149,42.6839855,-78.3273245,0
71825,"Blevins, AR 71825, USA",32.6,35625.0,13098,33.8682784,-93.5509074,2
32535,"Century, FL 32535, USA",37.8,34107.0,13066,30.9724762,-87.3711477,0
5483,"Sheldon, VT 05483, USA",35.9,65039.0,24743,46.7386596,-92.2825137,2
59820,"Alberton, MT 59820, USA",47.2,45956.0,26394,46.9478744,-114.5809081,0
15081,"South Heights, PA 15081, USA",50.2,31500.0,22177,40.5785167,-80.236488,31
37398,"Winchester, TN 37398, USA",45.6,43330.0,24562,35.1747032,-86.1141045,18
72856,"Sand Gap, AR 72856, USA",52.1,31016.0,24773,35.7781087,-93.0676373,0
97229,"Portland, OR 97229, USA",37.8,100063.0,44657,45.5593978,-122.807445,55
63566,"Winigan, MO 63566, USA",38.9,34107.0,15108,40.0361993,-92.9475662,1
05492,"Waterville, VT 05492, USA",41.0,53315.0,23399,55.392363,10.1473917,2
75454,"Melissa, TX 75454, USA",31.7,87125.0,29919,33.2774174,-96.5463156,4
46524,"Etna Green, IN 46524, USA",32.0,60033.0,19849,41.3129797,-86.0325629,4
52320,"Olin, IA 52320, USA",46.6,59167.0,29853,42.0130002,-91.15449630000000,1
93428,"Cambria, CA 93428, USA",58.4,59813.0,40682,35.5925142,-121.0564425,2
37336,"Georgetown, TN 37336, USA",44.4,48066.0,22370,35.3059815,-84.9193082,1
62063,"Medora, IL 62063, USA",41.3,54074.0,25781,39.2166442,-90.1682271,1
88337,"La Luz, NM 88337, USA",48.1,46996.0,23700,33.0064888,-105.8642593,0
14855,"Jasper, NY 14855, USA",29.3,43750.0,15913,42.1589149,-77.4931403,0
49098,"Watervliet, MI 49098, USA",37.0,42237.0,18480,42.1549524,-86.2361744,5
00957,"Bayamón, 00957, Puerto Rico",37.1,23736.0,11453,41.9711546,-79.3718452,0
77373,"Spring, TX 77373, USA",32.4,67742.0,25921,30.0605454,-95.3834854,37
76525,"Evant, TX 76525, USA",44.9,42750.0,21032,31.4823544,-98.1557066,1
19057,"Levittown, PA 19057, USA",38.0,62863.0,25069,40.1344021,-74.8565613,77
58259,"Michigan, ND 58259, USA",54.1,48295.0,31803,48.0513919,-98.1299519,1
06019,"Canton, CT 06019, USA",45.1,88281.0,44781,33.529026,-99.64694950000000,0
66507,"Maple Hill, KS 66507, USA",31.8,67500.0,23114,38.97933520000000,-96.0044121,1
77880,"Washington, TX 77880, USA",48.8,38672.0,25386,30.2674226,-96.17391160000000,0
61062,"Pearl City, IL 61062, USA",40.7,60000.0,26087,42.2755343,-89.81303560000000,1
57568,"Presho, SD 57568, USA",45.2,51700.0,28055,43.9119937,-100.1255164,1
10984,"Thiells, NY 10984, USA",42.5,112016.0,39093,41.2099325,-74.0153231,33
77520,"Baytown, TX 77520, USA",32.1,43409.0,18650,29.7299827,-94.9870491,25
97721,"Princeton, OR 97721, USA",30.7,27321.0,11412,42.58252,-118.521529,0
45328,"Gettysburg, OH 45328, USA",30.4,43750.0,14939,40.1124889,-84.4940315,3
25431,"Levels, WV 25431, USA",50.5,31161.0,21822,39.49588,-78.56107,0
57021,"Davis, SD 57021, USA",34.5,81875.0,28762,43.26167520000000,-96.974604,0
14555,"Sodus Point, NY 14555, USA",54.9,57500.0,30559,43.2605563,-76.98158770000000,2
22102,"McLean, VA 22102, USA",40.2,112427.0,82461,38.9586422,-77.22901930000000,122
03064,"Nashua, NH 03064, USA",40.6,64026.0,34045,30.4071546,-91.1021896,132
49112,"Edwardsburg, MI 49112, USA",39.5,49712.0,21768,41.7917622,-86.0325629,7
99102,"Albion, WA 99102, USA",35.4,43977.0,23766,46.7897474,-117.2503411,0
71031,"Goldonna, LA 71031, USA",49.8,44250.0,20250,32.0275947,-92.91759550000000,0
10303,"Staten Island, NY 10303, USA",31.1,51537.0,22077,40.6311444,-74.17390570000000,158
85383,"Peoria, AZ 85383, USA",36.7,101526.0,37735,33.7868136,-112.28609,4
