city_id,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hithadhoo,-0.6,73.0833,81.34,71,92,7.78,MV,1627858049
1,Yellowknife,62.456,-114.3525,87.33,28,20,3.44,CA,1627858059
2,Saint-Joseph,-21.3667,55.6167,64.78,75,37,8.3,RE,1627858292
3,Cidreira,-30.1811,-50.2056,56.86,93,90,8.03,BR,1627858086
4,Talara,-4.5772,-81.2719,65.91,84,1,21.12,PE,1627858137
5,Busselton,-33.65,115.3333,54.45,56,94,9.01,AU,1627858293
6,Rikitea,-23.1203,-134.9692,69.1,57,42,20.92,PF,1627858073
7,Atuona,-9.8,-139.0333,77.11,69,31,10.36,PF,1627858293
8,São João da Barra,-21.6403,-41.0511,67.28,64,93,9.01,BR,1627858293
9,Vostok,46.4856,135.8833,73.54,65,39,2.37,RU,1627858133
10,Albany,42.6001,-73.9662,71.47,84,89,6.73,US,1627858192
11,Padang,-0.9492,100.3543,74.84,91,98,5.57,ID,1627858294
12,Caravelas,-17.7125,-39.2481,68.92,66,96,8.81,BR,1627858294
13,Norman Wells,65.282,-126.8329,87.84,23,40,4.61,CA,1627858085
14,Isangel,-19.55,169.2667,69.91,83,75,5.75,VU,1627858295
15,Avarua,-21.2078,-159.775,75.25,94,90,13.8,CK,1627858266
16,Hasaki,35.7333,140.8333,82.8,82,11,6.49,JP,1627858295
17,Jamestown,42.097,-79.2353,69.39,66,20,3.0,US,1627858047
18,Punta Arenas,-53.15,-70.9167,42.91,75,40,17.27,CL,1627858295
19,Torbay,47.6666,-52.7314,66.97,73,40,14.97,CA,1627858124
20,Korla,41.7597,86.1469,74.71,18,100,6.2,CN,1627858296
21,Longyearbyen,78.2186,15.6401,42.35,85,99,6.73,SJ,1627858296
22,Lere,10.387,8.5726,67.19,98,99,4.5,NG,1627858296
23,Ushuaia,-54.8,-68.3,46.06,46,20,17.27,AR,1627858058
24,Bela,25.9333,81.9833,77.38,88,94,8.97,IN,1627858296
25,Khani,41.9563,42.9566,62.17,95,85,2.13,GE,1627858297
26,East London,-33.0153,27.9116,62.44,63,31,19.48,ZA,1627858297
27,Hong Kong,22.2855,114.1577,85.32,88,94,1.99,HK,1627858297
28,Narsaq,60.9167,-46.05,50.74,77,100,4.72,GL,1627858298
29,Jiuquan,39.7432,98.5174,64.92,55,100,4.21,CN,1627858298
30,Geraldton,-28.7667,114.6,45.01,93,75,8.05,AU,1627858298
31,Chui,-33.6971,-53.4616,49.6,93,25,5.5,UY,1627858298
