Address,City,County Name,Healthcare Personnel Influenza Vaccination\x0;,Hospital Name,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,Provider Number,State,ZIP Code,% Patients discharged on multiple antipsychotic medications with appropriate justification\x0;,% Post discharge continuing care plan created,% Post discharge continuing care plan transmitted to next level of careprovider upon discharge,Number of Records,Physical-restraint use\x0;ratio (hrs),Post-discharge care,Seclusion ratio (hrs)
702 N MAIN STREET PO BOX 1010,OPP,Covington,54,MIZELL MEMORIAL HOSPITAL,Not Available,10007,AL,36467,92.86,0.2806,0.917,1,0,Lowest,0
101 HOSPITAL CIRCLE,LUVERNE,Crenshaw,34,CRENSHAW COMMUNITY HOSPITAL,46.15%,10008,AL,36049,100,1,1,1,0.44,Lowest,0.07
50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,Jefferson,42,ST. VINCENT'S EAST,58.33%,10011,AL,35235,,0.937,0.7913,1,0,Lowest,0
200 MED CENTER DRIVE,FORT PAYNE,DeKalb,100,DEKALB REGIONAL MEDICAL CENTER,Not Available,10012,AL,35968,,1,1,1,0,Lowest,0
1000 FIRST STREET NORTH,ALABASTER,Shelby,71,SHELBY BAPTIST MEDICAL CENTER,47.06%,10016,AL,35007,,0.8445,0.7919,1,0.11,Lowest,0.03
126 HOSPITAL AVE,OZARK,Dale,97,DALE MEDICAL CENTER,65.06%,10021,AL,36360,83.33,0.9665,0.9665,1,0,Lowest,0
2105 EAST SOUTH BOULEVARD,MONTGOMERY,Montgomery,83,BAPTIST MEDICAL CENTER SOUTH,31.65%,10023,AL,36116,64.91,0.8443,0.8178,1,0.06,Lowest,0.06
619  19TH STREET SOUTH,BIRMINGHAM,Jefferson,42,UNIVERSITY OF ALABAMA HOSPITAL,45.19%,10033,AL,35249,81.25,0.1439,0.0782,1,0.63,Lowest,1.16
805 FRIENDSHIP ROAD,TALLASSEE,Elmore,56,COMMUNITY HOSPITAL INC,66.67%,10034,AL,36078,,0.2704,0.2704,1,0,Lowest,0
101 SIVLEY RD,HUNTSVILLE,Madison,70,HUNTSVILLE HOSPITAL,44.44%,10039,AL,35801,66.67,0.9278,0.919,1,0,Lowest,0
1007 GOODYEAR AVENUE,GADSDEN,Etowah,Not Available,GADSDEN REGIONAL MEDICAL CENTER,35.90%,10040,AL,35903,,0.9054,0.8063,1,0,Lowest,0
600 SOUTH THIRD STREET,GADSDEN,Etowah,58,RIVERVIEW REGIONAL MEDICAL CENTER,58.54%,10046,AL,35901,,0.9259,0.8222,1,0,Lowest,0.17
1200 W MAPLE AVENUE,GENEVA,Geneva,Not Available,WIREGRASS MEDICAL CENTER,56.10%,10062,AL,36340,35.9,1,0.9688,1,0,Lowest,0
820 W WASHINGTON ST,EUFAULA,Barbour,Not Available,MEDICAL CENTER BARBOUR,Not Available,10069,AL,36027,100,1,1,1,0,Lowest,0
400 EAST 10TH STREET,ANNISTON,Calhoun,73,NORTHEAST ALABAMA REGIONAL MED CENTER,40.00%,10078,AL,36207,,0.9972,0.9889,1,0.06,Lowest,0.24
1201 7TH STREET SE,DECATUR,Morgan,63,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,65.91%,10085,AL,35601,,0.8175,0.7923,1,0,Lowest,0
1530 U S HIGHWAY 43 P O BOX 130,WINFIELD,Fayette,77,NORTHWEST MEDICAL CENTER,42.86%,10086,AL,35594,,0.99,0.99,1,0,Lowest,0
3400 HIGHWAY 78 EAST,JASPER,Walker,75,WALKER BAPTIST MEDICAL CENTER,48.21%,10089,AL,35502,90,0.9461,0.9289,1,0.02,Lowest,0
295 SOUTH JACKSON ST,GROVE HILL,Clarke,61,GROVE HILL MEMORIAL HOSPITAL,Not Available,10091,AL,36451,,0.4627,0.2537,1,0,Lowest,0
