loan_amnt,int_rate,installment,home_ownership,annual_inc,verification_status,pymnt_plan,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt,collections_12_mths_ex_med,policy_code,application_type,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_inq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,hardship_flag,debt_settlement_flag,target
40000.0,0.1033,856.4,RENT,128700.0,Source Verified,n,12.47,0.0,1.0,8.0,0.0,38113.0,19.0,w,38971.46,38971.46,4501.8,4501.8,1028.54,3473.26,0.0,0.0,0.0,428.2,0.0,1.0,Individual,0.0,0.0,49510.0,1.0,1.0,0.0,1.0,19.0,11397.0,79.0,1.0,1.0,10980.0,78.0,49400.0,0.0,0.0,1.0,2.0,6189.0,11287.0,77.2,0.0,0.0,149.0,219.0,5.0,5.0,3.0,5.0,5.0,1.0,7.0,7.0,7.0,8.0,5.0,7.0,11.0,7.0,8.0,0.0,0.0,0.0,1.0,84.2,57.1,0.0,0.0,63915.0,49510.0,49400.0,14515.0,Y,N,low_risk
24450.0,0.14300000000000002,572.72,MORTGAGE,44574.0,Not Verified,n,15.05,0.0,1.0,6.0,0.0,1665.0,16.0,w,21480.65,21480.65,5707.78,5707.78,2969.35,2738.43,0.0,0.0,0.0,572.72,0.0,1.0,Individual,0.0,0.0,109830.0,1.0,1.0,2.0,3.0,6.0,17774.0,94.0,0.0,0.0,981.0,57.0,15500.0,2.0,1.0,2.0,3.0,18305.0,13835.0,10.7,0.0,0.0,54.0,152.0,35.0,6.0,3.0,35.0,6.0,0.0,3.0,3.0,4.0,5.0,6.0,4.0,7.0,3.0,6.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,136425.0,19439.0,15500.0,18925.0,N,N,low_risk
13500.0,0.14300000000000002,316.23,OWN,60000.0,Not Verified,n,28.72,0.0,0.0,8.0,0.0,13857.0,15.0,w,13382.18,13382.18,1886.67,1886.67,117.82,1768.85,0.0,0.0,0.0,158.12,0.0,1.0,Individual,0.0,660.0,65000.0,0.0,3.0,0.0,4.0,16.0,51143.0,83.0,1.0,3.0,1530.0,79.0,20400.0,1.0,3.0,2.0,7.0,8125.0,3580.0,33.7,0.0,0.0,163.0,158.0,10.0,10.0,0.0,22.0,10.0,0.0,2.0,5.0,2.0,2.0,10.0,5.0,5.0,5.0,8.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,82124.0,65000.0,5400.0,61724.0,Y,N,low_risk
10625.0,0.17739999999999997,268.31,RENT,60000.0,Verified,n,15.7,0.0,4.0,17.0,0.0,6216.0,35.0,w,9348.42,9348.42,2930.47,2930.47,1276.58,1653.89,0.0,0.0,0.0,0.0,0.0,1.0,Individual,0.0,0.0,50335.0,5.0,4.0,4.0,6.0,3.0,44119.0,168.0,6.0,10.0,2723.0,92.0,28600.0,3.0,0.0,8.0,16.0,2961.0,16984.0,26.8,0.0,0.0,219.0,137.0,4.0,3.0,0.0,4.0,2.0,3.0,5.0,5.0,10.0,13.0,18.0,13.0,17.0,5.0,17.0,0.0,0.0,0.0,10.0,91.4,20.0,0.0,0.0,54855.0,50335.0,23200.0,26255.0,N,N,low_risk
6375.0,0.1862,232.46,RENT,60000.0,Source Verified,n,35.5,0.0,0.0,13.0,0.0,12681.0,20.0,w,4441.69,4441.69,2850.47,2850.47,1933.31,917.16,0.0,0.0,0.0,232.46,0.0,1.0,Individual,0.0,0.0,56541.0,0.0,7.0,1.0,1.0,10.0,43860.0,66.0,1.0,3.0,4953.0,67.0,18100.0,1.0,0.0,1.0,4.0,4349.0,3067.0,80.0,0.0,0.0,85.0,39.0,8.0,8.0,0.0,8.0,10.0,0.0,3.0,5.0,4.0,4.0,13.0,6.0,7.0,5.0,13.0,0.0,0.0,0.0,2.0,100.0,75.0,0.0,0.0,90445.0,56541.0,15300.0,72345.0,N,N,low_risk
15000.0,0.11019999999999999,491.23,MORTGAGE,45000.0,Source Verified,n,66.32,0.0,0.0,8.0,0.0,6647.0,14.0,w,11315.49,11315.49,4903.12,4903.12,3684.51,1218.61,0.0,0.0,0.0,491.23,0.0,1.0,Joint App,0.0,0.0,86144.0,1.0,4.0,2.0,4.0,6.0,79497.0,58.0,0.0,1.0,2918.0,61.0,9500.0,3.0,2.0,4.0,5.0,10768.0,853.0,88.6,0.0,0.0,71.0,59.0,19.0,6.0,0.0,54.0,7.0,0.0,3.0,3.0,3.0,4.0,8.0,4.0,6.0,3.0,8.0,0.0,0.0,0.0,2.0,92.9,100.0,0.0,0.0,107958.0,86144.0,7500.0,98458.0,N,N,low_risk
12000.0,0.0702,370.64,MORTGAGE,81500.0,Source Verified,n,16.61,0.0,0.0,13.0,1.0,10395.0,22.0,w,9054.17,9054.17,3701.72,3701.72,2945.83,755.89,0.0,0.0,0.0,370.64,0.0,1.0,Individual,0.0,0.0,190741.0,0.0,3.0,0.0,1.0,17.0,25490.0,69.0,1.0,2.0,4421.0,47.0,39700.0,1.0,4.0,1.0,3.0,14672.0,23305.0,30.8,0.0,0.0,205.0,78.0,9.0,9.0,1.0,9.0,9.0,0.0,4.0,4.0,8.0,9.0,10.0,9.0,11.0,4.0,13.0,0.0,0.0,0.0,1.0,100.0,25.0,1.0,0.0,241476.0,35885.0,33700.0,36918.0,N,N,low_risk
4500.0,0.1308,151.8,RENT,95000.0,Source Verified,n,24.36,0.0,0.0,21.0,0.0,34540.0,33.0,w,3306.09,3306.09,1666.53,1666.53,1193.91,472.62,0.0,0.0,0.0,151.8,0.0,1.0,Individual,0.0,0.0,59896.0,0.0,2.0,0.0,1.0,14.0,25356.0,71.0,0.0,0.0,6493.0,70.0,50600.0,2.0,0.0,0.0,1.0,2852.0,9597.0,76.4,0.0,0.0,121.0,140.0,27.0,14.0,0.0,28.0,14.0,0.0,13.0,17.0,14.0,20.0,7.0,19.0,26.0,17.0,21.0,0.0,0.0,0.0,0.0,100.0,64.3,0.0,0.0,86099.0,59896.0,40600.0,35499.0,N,N,low_risk
8000.0,0.1033,259.38,MORTGAGE,50000.0,Not Verified,n,13.18,0.0,0.0,4.0,0.0,14519.0,19.0,w,5602.43,5602.43,3103.38,3103.38,2397.57,705.81,0.0,0.0,0.0,259.38,0.0,1.0,Individual,0.0,114.0,123262.0,0.0,1.0,0.0,0.0,38.0,6034.0,89.0,1.0,1.0,7690.0,90.0,16000.0,0.0,0.0,1.0,1.0,30816.0,1481.0,90.7,0.0,0.0,103.0,123.0,9.0,9.0,1.0,9.0,9.0,0.0,2.0,2.0,2.0,3.0,6.0,2.0,12.0,2.0,4.0,0.0,0.0,0.0,1.0,78.9,100.0,0.0,0.0,145248.0,20553.0,16000.0,6800.0,N,N,low_risk
40000.0,0.0646,1225.24,MORTGAGE,140000.0,Source Verified,n,16.38,0.0,0.0,21.0,0.0,49666.0,30.0,w,29652.74,29652.74,12238.04,12238.04,10347.26,1890.78,0.0,0.0,0.0,1225.24,0.0,1.0,Individual,0.0,0.0,507554.0,0.0,3.0,0.0,1.0,14.0,81919.0,95.0,1.0,1.0,19796.0,48.0,138500.0,2.0,1.0,0.0,3.0,24169.0,60291.0,43.6,0.0,0.0,126.0,197.0,10.0,10.0,1.0,10.0,13.0,0.0,4.0,5.0,9.0,10.0,7.0,15.0,20.0,5.0,21.0,0.0,0.0,0.0,1.0,100.0,11.1,0.0,0.0,615294.0,139627.0,106900.0,77485.0,N,N,low_risk
